HJD,dmag,err
5763.60865,6.2914,0.0035
5763.60986,6.2811,0.0035
5763.61046,6.2885,0.0035
5763.61166,6.2876,0.0035
5763.61226,6.2884,0.0035
5763.61347,6.276,0.0035
5763.61407,6.2838,0.0035
5763.61527,6.2867,0.0035
5763.61589,6.2796,0.0035
5763.61709,6.2731,0.0035
5763.61848,6.2783,0.0035
5763.61968,6.2799,0.0035
5763.62028,6.2832,0.0035
5763.6215,6.2871,0.0035
5763.6221,6.2741,0.0035
5763.6233,6.2855,0.0035
5763.62391,6.2688,0.0035
5763.62511,6.2754,0.0036
5763.62571,6.2661,0.0036
5763.62692,6.282,0.0035
5763.62928,6.2712,0.0036
5763.62987,6.2783,0.0036
5763.63046,6.271,0.0036
5763.63105,6.2746,0.0036
5763.63164,6.2726,0.0036
5763.63224,6.2544,0.0036
5763.63284,6.2792,0.0036
5763.63344,6.266,0.0036
5763.63404,6.2726,0.0037
5763.63465,6.2694,0.0036
5763.63525,6.2639,0.0036
5763.63585,6.2791,0.0035
5763.63645,6.2694,0.0035
5763.63705,6.2725,0.0035
5763.63766,6.2641,0.0035
5763.64217,6.274,0.0036
5763.64278,6.2617,0.0035
5763.64338,6.2729,0.0036
5763.64399,6.267,0.0036
5763.64459,6.2576,0.0036
5763.64519,6.265,0.0036
5763.64579,6.2585,0.0036
5763.64639,6.2589,0.0036
5763.647,6.2628,0.0035
5763.6476,6.2629,0.0035
5763.6482,6.2628,0.0036
5763.6488,6.2665,0.0035
5763.6494,6.2578,0.0036
5763.65002,6.2592,0.0036
5763.65062,6.261,0.0036
5763.65507,6.2556,0.0035
5763.65568,6.2544,0.0036
5763.65628,6.2551,0.0036
5763.65688,6.2524,0.0036
5763.65748,6.255,0.0036
5763.65808,6.2583,0.0036
5763.65868,6.2537,0.0036
5763.65929,6.247,0.0036
5763.65989,6.2512,0.0036
5763.66049,6.2526,0.0036
5763.6611,6.2455,0.0036
5763.66169,6.2518,0.0036
5763.66231,6.2612,0.0036
5763.66291,6.2479,0.0036
5763.66351,6.2513,0.0036
5763.66645,6.25,0.0036
5763.66705,6.2429,0.0036
5763.66765,6.2468,0.0036
5763.66827,6.2434,0.0036
5763.66887,6.243,0.0036
5763.66947,6.2447,0.0036
5763.67007,6.2449,0.0036
5763.67067,6.2389,0.0036
5763.67128,6.2374,0.0036
5763.67188,6.2467,0.0036
5763.67248,6.243,0.0036
5763.67308,6.2349,0.0036
5763.67368,6.239,0.0036
5763.67428,6.2352,0.0036
5763.67489,6.2335,0.0036
5763.67782,6.225,0.0036
5763.67843,6.2309,0.0036
5763.67903,6.2268,0.0036
5763.67963,6.2374,0.0036
5763.68023,6.2379,0.0037
5763.68084,6.2368,0.0037
5763.68144,6.2366,0.0037
5763.68205,6.2346,0.0037
5763.68265,6.2333,0.0036
5763.68324,6.2368,0.0037
5763.68386,6.2361,0.0036
5763.68446,6.224,0.0036
5763.68506,6.2337,0.0036
5763.68566,6.235,0.0036
5763.68625,6.237,0.0037
5763.68963,6.2345,0.0037
5763.69031,6.2185,0.0037
5763.69098,6.2292,0.0038
5763.69166,6.231,0.0037
5763.69233,6.1949,0.0037
5763.693,6.198,0.0037
5763.69367,6.2323,0.0037
5763.69435,6.2233,0.0037
5763.69502,6.2231,0.0037
5763.6957,6.2176,0.0037
5763.69637,6.2208,0.0037
5763.69705,6.2319,0.0037
5763.69772,6.225,0.0037
5763.69839,6.2214,0.0037
5763.69906,6.237,0.0037
5763.69975,6.2297,0.0038
5763.70042,6.2258,0.0037
5763.70109,6.2117,0.0038
5763.70176,6.2348,0.0037
5763.70243,6.2321,0.0037
5763.7031,6.2198,0.0038
5763.70377,6.2176,0.0038
5763.70444,6.2259,0.0038
5763.70513,6.223,0.0038
5763.7058,6.2201,0.0038
5763.70647,6.2199,0.0038
5763.70714,6.2157,0.0038
5763.70782,6.2212,0.0038
5763.7085,6.2133,0.0038
5763.70917,6.2233,0.0039
5763.70984,6.2128,0.0038
5763.71052,6.1947,0.0038
5763.71119,6.2092,0.0037
5763.71186,6.2134,0.0037
5763.71254,6.2031,0.0038
5763.71321,6.214,0.0038
5763.71388,6.214,0.0038
5763.71455,6.2134,0.0037
5763.71522,6.2055,0.0037
5763.71589,6.2094,0.0038
5763.71656,6.2089,0.0038
5763.71724,6.2042,0.0038
5763.71792,6.1798,0.0038
5763.71859,6.211,0.0038
5763.71926,6.205,0.0039
5763.71993,6.2008,0.0039
5763.7206,6.2155,0.0039
5763.72128,6.1118,0.0041
5763.72196,6.2001,0.0039
5763.72263,6.2127,0.0038
5763.7233,6.2081,0.0038
5763.72398,6.201,0.0038
5763.72465,6.1732,0.0039
5763.72532,6.178,0.0039
5763.726,6.2022,0.0038
5763.72738,6.206,0.0038
5763.78414,6.168,0.0044
5763.79041,6.1748,0.0048
5763.7911,6.1644,0.0045
5763.79177,6.1755,0.005
5763.79244,6.1731,0.0044
5763.79311,6.1655,0.0045
5763.79378,6.1728,0.0047
5763.79445,6.1659,0.0044
5763.79512,6.1628,0.0042
5763.79579,6.163,0.0044
5763.79646,6.1433,0.0045
5763.79714,6.1473,0.0047
