HJD,dmag,err
5646.24806,0.9533,0.666
5647.02432,2.1213,0.6691
5648.01758,-0.3745,1.6479
5648.02868,0.8069,0.3016
5648.03983,0.5616,0.3314
5648.05465,0.5956,0.3138
5648.06823,0.5557,0.2573
5648.07935,1.1367,0.128
5648.09169,0.9343,0.1454
5648.1028,0.4377,0.2142
5648.11391,0.4036,0.2705
5648.12746,0.4128,0.2896
5648.13858,-0.1891,0.5137
5648.14967,0.8101,0.1653
5648.16201,0.7805,0.1612
5648.17436,0.855,0.1256
5648.18547,0.8137,0.1263
5648.19781,1.0126,0.0954
5648.21014,0.9574,0.0979
5648.2237,0.9962,0.0866
5648.24389,0.8172,0.1306
5648.25498,1.2528,0.426
5649.01139,1.2407,0.0922
5649.01794,0.7442,0.191
5649.0278,0.8242,0.1272
5649.03027,1.187,0.0719
5649.0427,0.7239,0.125
5649.0563,1.0354,0.096
5649.0687,1.0236,0.0803
5649.07981,0.7713,0.1483
5649.09214,0.5718,0.2206
5649.10324,0.703,0.1322
5649.11438,0.8189,0.1088
5649.12682,0.9535,0.0987
5649.13792,0.9849,0.0813
5649.14903,0.9242,0.0933
5649.16138,0.8481,0.0826
5649.17252,1.0019,0.0767
5649.18363,0.8609,0.1065
5649.19597,0.8325,0.0889
5649.21325,0.7878,0.0971
5649.22435,1.0462,0.0729
5649.24409,0.9257,0.1218
5650.0104,1.0466,0.0745
5650.01163,1.1002,0.103
5650.01533,1.1059,0.0912
5650.03136,1.114,0.0884
5650.04743,1.0727,0.068
5650.06469,1.1186,0.0701
5650.0784,1.0118,0.0851
5650.09442,1.0695,0.073
5650.10675,1.1619,0.1056
5650.11863,0.9646,0.1183
5650.1322,1.0086,0.1121
5650.14455,1.0299,0.1327
5650.1569,1.059,0.0847
5650.17002,0.9759,0.1012
5650.18236,1.1662,0.096
5650.19346,0.9774,0.0812
5650.20582,1.0986,0.1236
5650.21815,1.1075,0.1043
5650.22924,1.1461,0.1329
5650.24035,1.1573,0.0848
5650.25269,1.0004,0.1819
5651.00989,1.1521,0.1124
5651.01112,0.8782,0.1388
5651.01505,1.0404,0.1359
5651.02739,1.0139,0.1788
5651.03849,1.1443,0.1231
5651.05206,0.2723,0.2602
5651.06318,-0.3799,0.8008
5651.07551,0.4809,0.2005
5651.08786,0.9383,0.1153
5651.09896,1.2262,0.1244
5651.11007,0.7249,0.111
5651.12241,0.8029,0.1138
5651.13353,0.6362,0.1622
5651.14462,0.561,0.2609
5651.15695,0.9513,0.1763
5651.16807,1.0515,0.1577
5651.17917,1.2546,0.1316
5651.19157,0.6197,0.277
5651.20391,0.9736,0.1264
5651.21504,0.8016,0.1479
5651.22864,0.7457,0.2024
5651.23975,0.7011,0.4015
5652.00627,0.7826,0.1355
5652.0075,0.9149,0.1918
5652.01243,1.0445,0.1285
5652.02356,1.3692,0.085
5652.03467,1.0207,0.1061
5652.04703,0.7156,0.1035
5652.05937,0.8524,0.1321
5652.0705,-0.1589,0.3722
5652.08407,0.9161,0.1203
5652.0964,0.8451,0.0951
5652.11985,0.866,0.0856
5652.13343,0.6971,0.1547
5652.14458,0.9679,0.0738
5652.15692,0.8893,0.0728
5652.17049,1.0923,0.0616
5652.18158,0.9666,0.0699
5652.19636,1.0925,0.055
5652.20747,1.0138,0.0714
5652.22105,0.7634,0.0972
5652.23338,0.88,0.0792
5652.24694,1.0042,0.091
5653.00548,1.1492,0.0793
5653.00671,0.8413,0.1079
5653.01574,1.0633,0.1037
5653.02685,0.8974,0.0772
5653.03796,1.0652,0.0925
5653.0503,1.1337,0.0859
5653.06141,0.997,0.0973
5653.07254,1.0557,0.0831
5653.08488,0.8964,0.0907
5653.09599,0.9969,0.0674
5653.10709,0.9039,0.0947
5653.11943,0.9479,0.0755
5653.13054,0.9314,0.0871
5653.14164,1.0174,0.0788
5653.15398,0.9273,0.0924
5653.1651,1.1126,0.0906
5653.17621,0.9493,0.0657
5653.18854,1.0258,0.0747
5653.19965,1.0711,0.0652
5653.21201,0.9152,0.0775
5653.22434,0.7243,0.1043
5653.23669,0.9691,0.0652
5653.25026,0.8602,0.1574
5655.06735,-1.7608,3.0354
5655.11337,0.46,0.3105
5657.01576,0.661,0.2594
5657.0269,1.0683,0.1372
5657.04048,1.0079,0.0824
5657.05158,0.7221,0.1483
5657.06275,0.7559,0.1665
5657.07507,0.4951,0.4267
5657.08739,-0.8286,0.9246
5657.09863,0.369,0.3673
5657.11221,0.7024,0.3093
5657.13129,1.2217,0.3031
5657.14612,1.4801,0.186
5657.16215,1.0767,0.0746
5657.17447,0.8718,0.084
5657.18557,1.1333,0.0759
5657.20037,0.864,0.0855
5657.21394,0.7188,0.1184
5657.22503,0.7478,0.1288
5657.2445,0.9094,0.1703
5657.26301,1.6602,0.3184
5657.99043,1.1664,0.2116
5657.99183,0.5533,0.219
5658.03376,0.8438,0.1262
5658.04733,1.0853,0.1139
5658.05844,0.9716,0.1218
5658.07325,0.654,1.1259
5658.0967,0.952,0.1087
5658.11026,0.9461,0.1005
5658.12386,0.5555,0.1633
5658.13494,0.4451,0.3754
5658.14605,0.8486,0.1911
5658.15962,0.7856,0.198
5658.17195,0.8407,0.1258
5658.18305,1.0222,0.1138
5658.19544,0.95,0.1202
5658.20652,0.8718,0.1342
5658.21766,0.6707,0.1545
5658.23248,1.0736,0.106
5658.24604,0.8671,0.0928
5659.19196,0.7945,0.1337
5659.20308,0.9167,0.1089
5659.21542,1.4123,1.5624
5659.22651,1.5876,0.3492
5659.23761,0.7392,0.1697
5659.25039,0.8011,0.8467
5659.98098,0.9986,0.2274
5659.99134,1.4224,0.1019
5660.00244,1.1981,0.1035
5660.01479,0.9276,0.1113
5660.02715,1.1065,0.0772
5660.03825,0.9703,0.0737
5660.04935,1.2616,0.059
5660.06172,1.2378,0.1472
5660.07281,1.0538,0.1012
5660.08392,0.8918,0.1052
5660.09628,0.8888,0.077
5660.10739,1.0622,0.0742
5660.11856,1.0013,0.0645
5660.13089,1.2645,0.1162
5660.142,1.2277,0.1581
5660.15311,1.0701,0.0888
5660.16546,1.0694,0.1257
5660.17656,1.0255,0.0696
5660.18766,1.1882,0.1813
5660.19999,1.1483,0.0922
5660.21109,1.1054,0.0991
