HJD,dmag,err
5772.09024,3.5206,0.0082
5772.09508,3.4856,0.0083
5772.12033,3.4773,0.0104
5772.12491,3.5611,0.008
5772.12982,3.3747,0.0088
5772.13471,3.4668,0.0084
5772.17981,3.5791,0.0099
5772.19128,3.7513,0.0074
5772.86163,3.3812,0.0087
5772.86638,3.3878,0.0087
5772.87812,4.1466,0.0079
5772.88289,3.4095,0.0086
5772.8876,3.5591,0.008
5772.89236,3.3504,0.0089
5772.92091,3.4309,0.0085
5772.92569,3.6553,0.0154
5772.93047,3.6935,0.0095
5772.93528,3.4116,0.0108
5773.06949,3.6048,0.0079
5773.07428,3.5631,0.008
5773.09421,3.4073,0.0086
5773.09903,3.3658,0.0088
5773.10382,3.9952,0.0067
5773.10863,3.4202,0.0086
5773.12148,3.4394,0.0085
5773.16584,3.5989,0.0079
5773.18427,3.6048,0.0079
